과정명,레벨,소요 시간,제공 방법,설명
AWS Well-Architected Best Practices Intermediate - L200 과정 수강,,,,AWS Well-Architected Framework는 클라우드 중심으로 고객의 아키텍처에 대해 정보에 입각한 결정을 내리고 설계 결정에 따른 영향을 이해하는 데 도움이 됩니다....
Amazon SageMaker Studio for Data Scientists,상급,3일,"강의식 교육(ILT), 프레젠테이션, 데모, 실습, 토론 및 캡스톤 프로젝트","Amazon SageMaker Studio는 데이터 사이언티스트가 ML 전용으로 구축된 광범위한 기능 세트를 통합하여 기계 학습(ML) 모델을 신속하게 준비, 구축, 교육, 배포 ..."
AWS Technical Essentials (1일 간의 AWS 강사 주도 과정),,,,"DevOps Engineering on AWS에서는 DevOps의 도구, 사례, 문화 철학을 조합하여 AWS에서 애플리케이션과 서비스를 빠르게 개발, 제공, 유지 관리하는 조직의 ..."
Architecting on AWS,중급,3일,"강의식 교육(ILT), 실습 및 그룹 활동",이 과정에서는 프로젝트 기반 학습 환경에서 머신러닝(ML) 파이프라인을 사용하여 실제 비즈니스 문제를 해결하는 방법을 살펴봅니다. 수강생은 강사의 프레젠테이션과 데모를 통해 파이프...
이 과정은 또한 AWS Certified Cloud Practitioner 시험을 준비하는 데 도움이 됩니다.,초급,1일,강의식 교육(ILT) 및 실습,
AWS Migration Essentials,초급,1일,강의식 교육(ILT) 및 실습,이 과정은 솔루션스 아키텍트에게 AWS 클라우드로의 리프트 앤 시프트 마이그레이션을 성공적으로 계획하고 수행하는 데 필요한 기초 지식을 제공하기 위한 것입니다. 이 과정에서는 다양...
AWS Technical Essentials,,,,이 과정은 숙련된 개발자에게 프로그래밍 방식으로 AWS 서비스와 상호 작용하여 웹 솔루션을 구축하는 방법을 가르칩니다. 리소스 선택에 관한 상위 수준 아키텍처 논의를 통해 진행하고...
AWS Security Essentials,기초,1일,,"이 교육 과정에서는 AWS 액세스 제어, 데이터 암호화 방법, AWS 인프라에 대한 네트워크 액세스 보안을 유지하는 방법을 비롯하여 기본적인 AWS 클라우드 보안 개념에 대해 알아..."
AWS에 대한 최소한의 실무 지식을 갖춘 보안 전문가,,,,AWS Well-Architected Framework는 클라우드 중심으로 고객의 아키텍처에 대해 정보에 입각한 결정을 내리고 설계 결정에 따른 영향을 이해하는 데 도움이 됩니다....
AWS Technical Essentials,기초,1일,"강의식 교육(ILT), 실습 및 그룹 활동",이 과정은 숙련된 개발자에게 프로그래밍 방식으로 AWS 서비스와 상호 작용하여 웹 솔루션을 구축하는 방법을 가르칩니다. 리소스 선택에 관한 상위 수준 아키텍처 논의를 통해 진행하고...
이전에 클라우드 컴퓨팅이나 AWS를 사용해 본 적은 없어도 됨,,,,
AWS Well-Architected Best Practices,중급,1일,"강의식 교육(ILT), 실습 및 그룹 활동",이 교육 과정은 AWS Well-Architected Framework와 6개의 핵심 요소에 대한 심층 분석을 제공하도록 구성되었습니다. 또한 이 과정에서는 Well-Archite...
핵심 AWS 설계 및 아키텍처에 대한 지식 (과정: Architecting on AWS),,,,
이 과정의 수강생들은 토론을 통해 직접 AWS 아키텍처의 모범사례를 논의하고 검토할 수 있는 역량을 검증할 수 있습니다.,중급,2일,"강의식 교육(ILT), 실습 및 그룹 활동",
핵심 AWS 설계 및 아키텍처에 대한 지식 (과정: Architecting on AWS),,,,
Building Batch Data Analytics Solutions on AWS,중급,1일,"강의식 교육(ILT), 실습 및 그룹 활동",이 과정에서는 엔터프라이즈급 Apache Spark 및 Apache Hadoop 관리형 서비스인 Amazon EMR을 통해 배치 데이터 분석 솔루션을 빌드하는 방법을 학습합니다. ...
Building Data Lakes on AWS 또는 Getting Started with AWS Glue 이수,,,,이 과정에서는 정형 데이터와 비정형 데이터 분석을 모두 지원하는 운영 데이터 레이크를 구축하는 방법에 대해 알아봅니다. 데이터 레이크 생성 관련 서비스의 구성 요소와 기능에 대해 ...
Building Data Analytics Solutions Using Amazon Redshift,중급,1일,"강의식 교육(ILT), 실습 및 그룹 활동","이 과정에서는 클라우드 기반 데이터 웨어하우스 서비스인 Amazon Redshift를 사용하여 데이터 분석 솔루션을 구축합니다. 이 과정에서는 분석 파이프라인의 데이터 수집, 흡수..."
Building Data Lakes on AWS 이수,,,,
Building Data Lakes on AWS,중급,1일,"강의식 교육(ILT), 실습 및 그룹 활동",
Build Modern Applications with AWS NoSQL Databases,중급,1일,"강의식 교육(ILT), 실습 및 그룹 활동","이 과정의 대상은 데이터 특징이 복합적이고 데이터베이스에 밀리초 성능이 필요한 애플리케이션을 개발하려는 개발자, 아키텍트 및 데이터베이스 엔지니어입니다. 이 과정에서는 AWS 목적..."
Building Streaming Data Analytics Solutions on AWS,중급,1일,"강의식 교육(ILT), 실습 및 그룹 활동",이 과정에서는 Amazon Kinesis와 Amazon Managed Streaming for Apache Kafka(Amazon MSK)를 포함한 AWS 서비스를 사용하여 스트리...
Building Data Lakes on AWS 이수,,,,
Cloud Operations on AWS (구 Systems Operations on AWS),중급,3일,"강의식 교육(ILT), 실습 및 그룹 활동",이 과정에서는 클라우드 운영자와 클라우드 운영 기능을 수행하는 사용자를 대상으로 AWS에서 네트워크와 클라우드의 자동화 및 반복 가능한 배포를 관리하고 운영하는 방법을 학습합니다....
Data Warehousing on AWS,중급,3일,"강의식 교육(ILT), 실습 및 그룹 활동",이 과정에서는 다음 개념을 다룹니다.
Designing and Implementing Storage on AWS,중급,3일,"강의식 교육(ILT), 실습 및 그룹 활동",AWS는 데이터를 저장하고 액세스하고 보호하는 다양한 기능을 갖춘 스토리지 서비스 및 솔루션 옵션으로 구성된 광범위한 포트폴리오를 제공합니다. 이 과정에서는 이러한 다양한 서비스 ...
Developing Generative AI Applications on AWS,중급,2일,"강의식 교육(ILT), 실습 및 그룹 활동",
Developing on AWS,중급,3일,"강의식 교육(ILT), 실습 및 데모",이 과정은 숙련된 개발자에게 프로그래밍 방식으로 AWS 서비스와 상호 작용하여 웹 솔루션을 구축하는 방법을 가르칩니다. 리소스 선택에 관한 상위 수준 아키텍처 논의를 통해 진행하고...
Developing Serverless Solutions on AWS,중급,3일,"강의식 교육(ILT), 실습 및 데모",이 과정에서는 개발자가 AWS Lambda 및 AWS 서버리스 플랫폼의 다른 서비스를 사용하여 서버리스 애플리케이션을 구축하는 모범 사례를 살펴보고 연습할 수 있습니다. 간단한 주...
DevOps Engineering on AWS,중급,3일,강의실 및 프라이빗 온사이트 교육,"DevOps Engineering on AWS 과정에서는 가장 일반적인 DevOps 패턴을 사용하여 AWS에서 애플리케이션을 개발, 배포 및 유지 관리하는 방법을 설명합니다. 이 ..."
Generative AI Essentials on AWS,초급,1일,"강의식 교육(ILT), 실습 및 데모","이 과정에서는 생성형 AI를 사용하기 위한 기본 개념, 방법 및 전략에 대해 배웁니다. 생성형 AI가 솔루션을 제공하고 비즈니스 요구 사항을 해결할 수 있는 사용 사례를 확실하게 ..."
Migrating to AWS,중급,3일,"강의식 교육(ILT), 실습 및 데모","이 과정은 기존 워크로드를 계획하고 AWS 클라우드로 마이그레이션하는 방법을 이해하고자 하는 개인을 대상으로 합니다. 포트폴리오 검색, 애플리케이션 마이그레이션 계획 및 설계, 마..."
MLOps Engineering on AWS,중급,3일,"강의식 교육(ILT), 실습 및 데모","이 과정은 기계 학습 모델을 구축, 훈련 및 배포하기 위해 소프트웨어 개발에서 널리 사용되는 DevOps 방식을 기반으로 확장됩니다. 이 과정에서는 성공적인 기계 학습 배포를 위해..."
Networking Essentials for Cloud Applications on AWS,중급,1일,"강의식 교육(ILT), 실습 및 데모",이 과정을 통해 Amazon Web Services(AWS) 클라우드 환경 내의 네트워킹 개념과 서비스를 포괄적으로 이해할 수 있습니다. 초보 및 숙련된 네트워킹 엔지니어를 위해 ...
AWS Technical Essentials 또는 Cloud Practioner Essentials 과정 수강,,,,
Practical Data Science with Amazon SageMaker,중급,1일,"강의식 교육(ILT), 실습","기계 학습(ML)으로 실제 문제를 해결하고 Amazon SageMaker의 사용에 대해서 학습합니다. 이 과정에서는 데이터 집합 분석 및 시각화부터 데이터 준비, 피쳐 엔지니어링에..."
Practical IaC on AWS with Terraform,중급,1일,"강의식 교육(ILT), 프레젠테이션, 데모, 실습",Terraform 은 전세계에서 가장 널리 쓰이는 IaC 도구 중 하나 입니다. 이 교육 과정에서는 AWS Solutions Architect 가 IaC 도구인 Terraform ...
AWS Technical Essentials,,,,이 과정은 숙련된 개발자에게 프로그래밍 방식으로 AWS 서비스와 상호 작용하여 웹 솔루션을 구축하는 방법을 가르칩니다. 리소스 선택에 관한 상위 수준 아키텍처 논의를 통해 진행하고...
Running Containers on Amazon Elastic Kubernetes Service (Amazon EKS),중급,3일,"강의식 교육(ILT), 실습 및 그룹 활동",이 과정에서는 Amazon EKS를 사용하여 Kubernetes로 컨테이너를 관리하고 오케스트레이션하는 방법을 알아봅니다. Amazon EKS를 사용하면 자체 Kubernetes ...
Security Engineering on AWS,중급,3일,"강의식 교육(ILT), 실습 및 그룹 활동",AWS 보안 서비스를 사용하여 AWS 클라우드에서 보안을 유지하는 방법을 배웁니다. AWS에서 권장하는 보안 사례를 통해 클라우드에서 데이터 및 시스템 보안을 강화합니다. 이 과정...
"2년 이상 AWS 환경을 프로비저닝, 운영 및 관리한 경험",,,,보안은 클라우드 고객과 클라우드 도입을 고려하는 고객 모두의 관심사입니다. 사이버 공격과 데이터 유출의 증가는 대부분의 업계 종사자들이 여전히 가장 염두에 두고 있는 문제입니다. ...
